"table","category","group","analysis","metric","old_value","new_value","difference","old_display","new_display"
"Table 7","Journal Rank","Other","raw","pub_oos_se",6.13844843665628,8.58122200369464,2.44277356703836,"6","9"
"Table 7","Journal Rank","Other","raw","outperform",8.05201652673252,8.05201652673251,-3.5527136788005e-15,"8","8"
"Table 7","Journal Rank","Other","raw","outperform_se",6.3453138531179,8.82937504569244,2.48406119257454,"6","9"
"Table IA.10","","No Model","raw","pub_oos",55.646022054615,55.646022054615,-1.4210854715202e-14,"56","56"
"Table IA.10","","No Model","raw","pub_oos_se",3.32171469664335,7.79335564332105,4.4716409466777,"3","8"
"Table IA.10","","No Model","raw","outperform",4.8015428770143,4.80154287701429,-4.44089209850063e-15,"5","5"
"Table IA.10","","No Model","raw","outperform_se",3.4128412183498,7.21651428382237,3.80367306547257,"3","7"
"Table IA.10","","Any Model","raw","pub_oos",48.6258829337056,54.3404809498079,5.71459801610235,"49","54"
"Table IA.10","","Any Model","raw","pub_oos_se",12.9470633775473,12.4660975462812,-0.480965831266065,"13","12"
"Table IA.10","","Any Model","raw","outperform",6.61907552756995,9.83176865232084,3.21269312475089,"7","10"
"Table IA.10","","Any Model","raw","outperform_se",13.4986421384414,11.2560537669345,-2.24258837150686,"13","11"
"Table 6","Theoretical Foundation","Risk","capm","pub_oos",37.7231230562795,37.7231230562795,2.8421709430404e-14,"38","38"
"Table 6","Theoretical Foundation","Risk","capm","pub_oos_se",7.92882118391083,13.8972741775142,5.96845299360341,"8","14"
"Table 6","Theoretical Foundation","Risk","capm","outperform",-3.99048467195445,-3.99048467195445,-6.21724893790088e-15,"-4","-4"
"Table 6","Theoretical Foundation","Risk","capm","outperform_se",8.36529189410088,13.9839303988465,5.6186385047456,"8","14"
"Table 6","Theoretical Foundation","Mispricing","capm","pub_oos",60.1663834385062,60.1663834385062,7.105427357601e-15,"60","60"
"Table 6","Theoretical Foundation","Mispricing","capm","pub_oos_se",3.63195545768286,7.56817925755067,3.93622379986782,"4","8"
"Table 6","Theoretical Foundation","Mispricing","capm","outperform",6.16799103227346,6.16799103227346,-2.66453525910038e-15,"6","6"
"Table 6","Theoretical Foundation","Mispricing","capm","outperform_se",3.80112135575111,7.11077737478846,3.30965601903735,"4","7"
"Table 6","Theoretical Foundation","Agnostic","capm","pub_oos",78.9249169806752,78.9249169806752,-2.8421709430404e-14,"79","79"
"Table 6","Theoretical Foundation","Agnostic","capm","pub_oos_se",8.10386650116218,14.0063850130629,5.90251851190074,"8","14"
"Table 6","Theoretical Foundation","Agnostic","capm","outperform",22.608386643033,22.608386643033,3.5527136788005e-15,"23","23"
"Table 6","Theoretical Foundation","Agnostic","capm","outperform_se",8.3443110250002,15.4862813760459,7.14197035104574,"8","15"
"Table 6","Modeling Formalism","No Model","capm","pub_oos",61.5834333663985,61.5834333663985,7.105427357601e-15,"62","62"
"Table 6","Modeling Formalism","No Model","capm","pub_oos_se",3.26592053731462,7.02109583067572,3.7551752933611,"3","7"
"Table 6","Modeling Formalism","No Model","capm","outperform",9.07162118729025,9.07162118729024,-3.5527136788005e-15,"9","9"
"Table 6","Modeling Formalism","No Model","capm","outperform_se",3.39710173697803,7.07406254357575,3.67696080659772,"3","7"
"Table 6","Modeling Formalism","Stylized","capm","pub_oos",49.2239803929564,49.2239803929564,7.105427357601e-15,"49","49"
"Table 6","Modeling Formalism","Stylized","capm","pub_oos_se",13.2595256923983,19.4938717551089,6.23434606271053,"13","19"
"Table 6","Modeling Formalism","Stylized","capm","outperform",-4.64274910257087,-4.64274910257088,-1.77635683940025e-15,"-5","-5"
"Table 6","Modeling Formalism","Stylized","capm","outperform_se",13.7416166933135,16.5114013591834,2.7697846658699,"14","17"
"Table 6","Modeling Formalism","Dynamic or Quantitative","capm","pub_oos",49.9770742174248,49.9770742174248,-1.4210854715202e-14,"50","50"
"Table 6","Modeling Formalism","Dynamic or Quantitative","capm","pub_oos_se",14.3109346325519,16.9089209272076,2.59798629465566,"14","17"
"Table 6","Modeling Formalism","Dynamic or Quantitative","capm","outperform",4.46634789711233,4.46634789711233,-2.66453525910038e-15,"4","4"
"Table 6","Modeling Formalism","Dynamic or Quantitative","capm","outperform_se",19.1358529254627,14.504709673724,-4.63114325173868,"19","15"
"Table 6","Overall","Overall","capm","pub_oos",60.4296905879253,60.4296905879253,7.105427357601e-15,"60","60"
"Table 6","Overall","Overall","capm","pub_oos_se",3.12734612123788,6.50248393091818,3.3751378096803,"3","7"
"Table 6","Overall","Overall","capm","outperform",7.9681617720543,7.9681617720543,-8.88178419700125e-16,"8","8"
"Table 6","Overall","Overall","capm","outperform_se",3.26193489478028,6.75654586507137,3.49461097029109,"3","7"
"Table 7","Discipline","Finance","capm","pub_oos",64.9394011623759,65.5254482067715,0.586047044395585,"65","66"
"Table 7","Discipline","Finance","capm","pub_oos_se",3.68658142434396,7.32252144900714,3.63594002466318,"4","7"
"Table 7","Discipline","Finance","capm","outperform",12.5015010466292,13.339058824894,0.837557778264729,"13","13"
"Table 7","Discipline","Finance","capm","outperform_se",3.83951477276948,7.64124446352368,3.8017296907542,"4","8"
"Table 7","Discipline","Accounting","capm","pub_oos",44.9016926041471,47.9599736039642,3.05828099981715,"45","48"
"Table 7","Discipline","Accounting","capm","pub_oos_se",5.57872304769498,9.45820405451565,3.87948100682066,"6","9"
"Table 7","Discipline","Accounting","capm","outperform",-8.17467327193108,-5.64679944222084,2.52787382971025,"-8","-6"
"Table 7","Discipline","Accounting","capm","outperform_se",5.87259303402915,9.59424896327397,3.72165592924483,"6","10"
"Table 7","Journal Rank","JF, JFE, RFS","capm","pub_oos",68.2136691566323,68.2136691566323,0,"68","68"
"Table 7","Journal Rank","JF, JFE, RFS","capm","pub_oos_se",4.47327547410191,8.37591495794413,3.90263948384223,"4","8"
"Table 7","Journal Rank","JF, JFE, RFS","capm","outperform",16.0812222889659,16.0812222889659,-3.5527136788005e-15,"16","16"
"Table 7","Journal Rank","JF, JFE, RFS","capm","outperform_se",4.64477265907114,8.95945996471356,4.31468730564242,"5","9"
"Table 7","Journal Rank","AR, JAR, JAE","capm","pub_oos",44.9016926041471,44.9016926041471,-7.105427357601e-15,"45","45"
"Table 7","Journal Rank","AR, JAR, JAE","capm","pub_oos_se",5.57872304769498,9.35110934918906,3.77238630149407,"6","9"
"Table 7","Journal Rank","AR, JAR, JAE","capm","outperform",-8.17467327193108,-8.17467327193108,3.5527136788005e-15,"-8","-8"
"Table 7","Journal Rank","AR, JAR, JAE","capm","outperform_se",5.87259303402915,9.22243746623063,3.34984443220149,"6","9"
