name,freq_obs_1963
ib,0.995296331138288
ibadj,0.995296331138288
ibcom,0.995296331138288
at,0.993414863593603
me_datadate,0.993414863593603
pi,0.992474129821261
sale,0.992474129821261
ni,0.991533396048918
act,0.987770460959548
ppent,0.987770460959548
lct,0.986829727187206
wcap,0.986829727187206
oiadp,0.984948259642521
cogs,0.982126058325494
gp,0.981185324553151
xopr,0.981185324553151
ebitda,0.976481655691439
ppegt,0.975540921919097
dpact,0.973659454374412
dp,0.969896519285042
txt,0.967074317968015
ebit,0.957666980244591
lt,0.948259642521166
nopi,0.929444967074318
nopio,0.926622765757291
che,0.898400752587018
dvt,0.897460018814675
rect,0.893697083725306
recco,0.889934148635936
emp,0.8758231420508
ao,0.871119473189087
invt,0.864534336782691
dvc,0.856067732831609
capxv,0.812793979303857
dltt,0.805268109125118
xint,0.797742238946378
xsga,0.796801505174036
aox,0.776105362182502
capx,0.721542803386642
dlc,0.683913452492945
aco,0.67826904985889
acox,0.67826904985889
np,0.613358419567263
xpr,0.558795860771402
lo,0.556914393226717
xrent,0.539040451552211
ceql,0.525870178739417
ceqt,0.525870178739417
icapt,0.520225776105362
txditc,0.51552210724365
ceq,0.51175917215428
txdb,0.494825964252117
itci,0.468485418626529
ivao,0.467544684854186
seq,0.44590780809031
cstk,0.441204139228598
re,0.439322671683914
ivaeq,0.408278457196613
intan,0.393226716839135
caps,0.364063969896519
txdi,0.363123236124177
dvp,0.36030103480715
pstkl,0.346190028222013
pstkrv,0.346190028222013
pstk,0.311382878645343
pstkn,0.225776105362183
dcpstk,0.204139228598307
mib,0.190968955785513
esub,0.165569143932267
mii,0.145813734713076
dd1,0.143932267168391
ap,0.118532455315146
spi,0.114769520225776
xido,0.111947318908749
xi,0.107243650047037
xrd,0.103480714957667
txp,0.102539981185325
lco,0.0978363123236124
niadj,0.0978363123236124
lcox,0.09689557855127
ppeveb,0.0931326434619003
txc,0.0912511759172154
txfed,0.0912511759172154
itcb,0.0874882408278457
ppevbb,0.0874882408278457
ppevr,0.0856067732831609
intc,0.083725305738476
dudd,0.0696142991533396
txs,0.0555032925682032
ppevo,0.0432737535277516
tlcf,0.0413922859830668
dcvt,0.0122295390404516
ch,0.00564440263405456
xad,0.00470366886171214
ivst,0.00188146754468485
am,0.000940733772342427
cstke,0.000940733772342427
dfxa,0.000940733772342427
do,0.000940733772342427
dpvieb,0.000940733772342427
dpvio,0.000940733772342427
dpvir,0.000940733772342427
dvpibb,0.000940733772342427
pifo,0.000940733772342427
ppenb,0.000940733772342427
ppenc,0.000940733772342427
ppenli,0.000940733772342427
ppenme,0.000940733772342427
ppennr,0.000940733772342427
ppeno,0.000940733772342427
txr,0.000940733772342427
xacc,0.000940733772342427
xdepl,0.000940733772342427
acchg,0
aoloch,0
apalch,0
aqc,0
aqi,0
aqs,0
bast,0
chech,0
cld2,0
cld3,0
cld4,0
cld5,0
cstkcv,0
dc,0
dclo,0
dcom,0
dcvsr,0
dcvsub,0
dd,0
dd2,0
dd3,0
dd4,0
dd5,0
dfs,0
diladj,0
dilavx,0
dlcch,0
dltis,0
dlto,0
dltp,0
dltr,0
dm,0
dn,0
donr,0
dpc,0
drc,0
ds,0
dv,0
dvpa,0
dxd2,0
dxd3,0
dxd4,0
dxd5,0
esopct,0
esopdlt,0
esopt,0
esubc,0
exre,0
fatb,0
fatc,0
fate,0
fatl,0
fatn,0
fato,0
fatp,0
fiao,0
fincf,0
fopo,0
fopox,0
fopt,0
fsrco,0
fsrct,0
fuseo,0
fuset,0
gdwl,0
ibc,0
idit,0
intpn,0
invch,0
invfg,0
invo,0
invrm,0
invwip,0
ivaco,0
ivch,0
ivncf,0
ivstch,0
lcoxdr,0
lifr,0
mrc1,0
mrc2,0
mrc3,0
mrc4,0
mrc5,0
mrct,0
msa,0
nieci,0
oancf,0
ob,0
pidom,0
prstkc,0
pstkc,0
pstkr,0
rdip,0
rea,0
reajo,0
recch,0
recd,0
recta,0
rectr,0
reuna,0
siv,0
sppe,0
sppiv,0
sstk,0
tstk,0
tstkc,0
tstkp,0
txach,0
txbco,0
txdba,0
txdbca,0
txdbcl,0
txdc,0
txdfed,0
txdfo,0
txds,0
txfo,0
txndb,0
txndba,0
txndbl,0
txndbr,0
txo,0
txpd,0
txw,0
wcapc,0
wcapch,0
xidoc,0
xpp,0
